Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg) Total(Tg) 
2068 -0.04682308888919806 -3.899429835427725 0.0 0.0 0.0 0.0 0.05964357148500031 0.03610821425749985 0 0.023535357227500463 0.94141429 0. 1.62486964 1.66357857 4.2298625 
2069 0.009565319214630108 -3.8898645162130947 0.0 0.0 0.0 0.0 0.06432052469492809 0.03550473765253596 0 0.028815787042392134 1.15263148 0. 1.59771319 1.86272623 4.61307091 
2070 0.026782702184902973 -3.8630818140281917 0.0 0.0 0.0 0.0 0.06859572625326782 0.035102136873366094 0 0.033493589379901725 1.33974358 0. 1.57959616 2.04178631 4.96112605 
2071 0.0003576808713887658 -3.862724133156803 0.0 0.0 0.0 0.0 0.07158869392317693 0.03534065303841154 0 0.036248040884765395 1.44992164 0. 1.59032939 2.1567347 5.19698572 
2072 -0.0625098854739008 -3.9252340186307038 0.0 0.0 0.0 0.0 0.07276428655488573 0.03648785672255714 0 0.036276429832328594 1.45105719 2.22044605e-16 1.64195355 2.18081433 5.27382507 
2073 -0.14487446486850786 -4.070108483499212 0.0 0.0 0.0 0.0 0.07207581204487074 0.03856709397756464 0 0.0335087180673061 1.34034872 0. 1.73551923 2.1116906 5.18755855 
2074 -0.22458234315291747 -4.294690826652129 0.0 0.0 0.0 0.0 0.06997730099256766 0.041351349503716175 0 0.028625951488851484 1.14503806 0. 1.86081073 1.97206505 4.97791384 
2075 -0.28020513088011967 -4.574895957532249 0.0 0.0 0.0 0.0 0.06730165008205366 0.044424174958973175 0 0.022877475123080485 0.915099 2.22044605e-16 1.99908787 1.8035825 4.71776938 
2076 -0.2967793298465722 -4.871675287378821 0.0 0.0 0.0 0.0 0.06503728050477531 0.04729135974761235 0 0.017745920757162956 0.70983683 0. 2.12811119 1.65566403 4.49361204 
2077 -0.26981398156698333 -5.141489268945804 0.0 0.0 0.0 0.0 0.064063150515616 0.04951342474219201 0 0.014549725773423984 0.58198903 5.55111512e-17 2.22810411 1.57225753 4.38235067 
2078 -0.20649249644719703 -5.347981765393001 0.0 0.0 0.0 0.0 0.06491312100832436 0.05082343949583781 0 0.014089681512486546 0.56358726 0. 2.28705478 1.58005605 4.43069809 
2079 -0.1237465882384754 -5.471728353631477 0.0 0.0 0.0 0.0 0.06763280856377987 0.05119859571811006 0 0.016434212845669816 0.65736851 0. 2.30393681 1.68134043 4.64264575 
2080 -0.043718362625156715 -5.515446716256633 0.0 0.0 0.0 0.0 0.07176727905646323 0.05086636047176838 0 0.020900918584694846 0.83603674 1.11022302e-16 2.28898622 1.85336395 4.97838692 
