Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg) Total(Tg) 
2167 -0.15002350710528845 -22.089505363442242 0.0 0.0 0.0 0.0 0.06840662166898015 0.06840662166898015 0 0.0 0. 0. 3.07829798 1.36813243 4.44643041 
2168 -0.12635403452998162 -22.215859397972224 0.0 0.0 0.0 0.0 0.06999749418520962 0.06999749418520962 0 0.0 0. 0. 3.14988724 1.39994988 4.54983712 
2169 -0.10406066028724581 -22.31992005825947 0.0 0.0 0.0 0.0 0.07197115285059508 0.07197115285059508 0 0.0 0. 0. 3.23870188 1.43942306 4.67812494 
2170 -0.08382075833759473 -22.403740816597065 0.0 0.0 0.0 0.0 0.07427762317869574 0.07427762317869574 0 0.0 0. 0. 3.34249304 1.48555246 4.82804551 
2171 -0.06624930879166868 -22.469990125388733 0.0 0.0 0.0 0.0 0.07685681835449859 0.07685681835449859 0 0.0 0. 0. 3.45855683 1.53713637 4.99569319 
2172 -0.051880212066919285 -22.521870337455653 0.0 0.0 0.0 0.0 0.07964036494373694 0.07964036494373694 0 0.0 0. 0. 3.58381642 1.5928073 5.17662372 
2173 -0.04115006660811105 -22.563020404063764 0.0 0.0 0.0 0.0 0.08255368038670469 0.08255368038670469 0 0.0 0. 0. 3.71491562 1.65107361 5.36598923 
2174 -0.0343849030782053 -22.59740530714197 0.0 0.0 0.0 0.0 0.0855182391529708 0.0855182391529708 0 0.0 0. 0. 3.84832076 1.71036478 5.55868554 
2175 -0.03179027809215995 -22.62919558523413 0.0 0.0 0.0 0.0 0.08845395870112893 0.08845395870112893 0 0.0 0. 0. 3.98042814 1.76907917 5.74950732 
2176 -0.03344502849319042 -22.66264061372732 0.0 0.0 0.0 0.0 0.09128163274736462 0.09128163274736462 0 0.0 0. 0. 4.10767347 1.82563265 5.93330613 
2177 -0.039298875944041356 -22.70193948967136 0.0 0.0 0.0 0.0 0.09392533790923818 0.09392533790923818 0 0.0 0. 0. 4.22664021 1.87850676 6.10514696 
2178 -0.049173954615923776 -22.751113444287284 0.0 0.0 0.0 0.0 0.09631474060007134 0.09631474060007134 0 0.0 0. 0. 4.33416333 1.92629481 6.26045814 
2179 -0.06277021555882811 -22.813883659846113 0.0 0.0 0.0 0.0 0.09838723408008954 0.09838723408008954 0 0.0 0. 0. 4.42742553 1.96774468 6.39517022 
2180 -0.07967454354206893 -22.89355820338818 0.0 0.0 0.0 0.0 0.10008984073117633 0.10008984073117633 0 0.0 0. 0. 4.50404283 2.00179681 6.50583965 
2181 -0.099373309357361 -22.992931512745542 0.0 0.0 0.0 0.0 0.10138082175551688 0.10138082175551688 0 0.0 0. 0. 4.56213698 2.02761644 6.58975341 
2182 -0.12126797618600449 -23.114199488931547 0.0 0.0 0.0 0.0 0.10223094538834882 0.10223094538834882 0 0.0 0. 0. 4.60039254 2.04461891 6.64501145 
2183 -0.14469328584164032 -23.258892774773187 0.0 0.0 0.0 0.0 0.10262437509074862 0.10262437509074862 0 0.0 0. 0. 4.61809688 2.0524875 6.67058438 
2184 -0.16893747230693634 -23.427830247080124 0.0 0.0 0.0 0.0 0.10255915073521676 0.10255915073521676 0 0.0 0. 0. 4.61516178 2.05118301 6.6663448 
2185 -0.19326388838629782 -23.62109413546642 0.0 0.0 0.0 0.0 0.10204724816349525 0.10204724816349525 0 0.0 0. 0. 4.59212617 2.04094496 6.63307113 
2186 -0.2169333883612694 -23.83802752382769 0.0 0.0 0.0 0.0 0.10111421530694203 0.10111421530694203 0 0.0 0. 0. 4.55013969 2.02228431 6.57242399 
2187 -0.23922678656123253 -24.077254310388923 0.0 0.0 0.0 0.0 0.09979839592581213 0.09979839592581213 0 0.0 0. 0. 4.49092782 1.99596792 6.48689574 
2188 -0.25946670945791084 -24.336721019846834 0.0 0.0 0.0 0.0 0.0981497645537231 0.0981497645537231 0 0.0 0. 0. 4.4167394 1.96299529 6.3797347 
